TIPO,OFERTA,VALORES,VALORES_PROMO,RUA/AV,LOGRADOURO,LOCATION,CITY,STATE,AREA,QUARTO,GARAGEM,BANHEIRO,KEY,ALTO_PADRAO,AVALIA_IMOVEL_NO_NEGOCIO,MOBILIADO,PRONTO_PARA_MORAR,DATA_ANUNCIO,DATA_RETIRADA,LAT_STREET,LON_STREET
SALA/CONJUNTO COMERCIAL,COMPRA,165000,145000,RUA,TUPI,PASSO DA AREIA,PORTO ALEGRE,RS,29.0,0,0,0,329467,0.0,0,0,0,2023-08-05,-,-29.6905275,-51.139309
SALA/CONJUNTO COMERCIAL,COMPRA,159000,151050,TRAVESSA,COMENDADOR BATISTA,CIDADE BAIXA,PORTO ALEGRE,RS,40.0,0,0,0,347810,0.0,0,0,0,2023-08-05,-,-30.0384117,-51.2231511
SALA/CONJUNTO COMERCIAL,COMPRA,150000,142500,AVENIDA,BORGES DE MEDEIROS,CENTRO HISTORICO,PORTO ALEGRE,RS,40.0,0,0,0,304308,0.0,0,0,0,2023-08-05,-,-29.6611245,-50.5844571
SALA/CONJUNTO COMERCIAL,COMPRA,150000,120000,RUA,DOUTORA RITA LOBATO,PRAIA DE BELAS,PORTO ALEGRE,RS,21.0,0,0,0,258045,0.0,0,0,0,2023-08-05,-,-30.0454551,-51.2285595
SALA/CONJUNTO COMERCIAL,COMPRA,150000,137800,AVENIDA,CORONEL LUCAS DE OLIVEIRA,PETROPOLIS,PORTO ALEGRE,RS,25.0,0,0,2,431698,0.0,0,0,0,2023-08-05,-,-30.0394093,-51.1944332
KITNET/JK,COMPRA,150000,142000,RUA,GASTON ENGLERT,VILA IPIRANGA,PORTO ALEGRE,RS,26.0,1,0,1,247329,0.0,0,0,0,2023-08-05,-,-30.0186073,-51.1588911
SALA/CONJUNTO COMERCIAL,COMPRA,150000,142500,AVENIDA,SENADOR SALGADO FILHO,CENTRO HISTORICO,PORTO ALEGRE,RS,47.0,0,0,0,323381,0.0,0,0,0,2023-08-05,-,-30.0790762,-51.1153224
SALA/CONJUNTO COMERCIAL,COMPRA,149000,141500,RUA,ALVARES CABRAL,CRISTO REDENTOR,PORTO ALEGRE,RS,23.0,0,0,0,126885,0.0,0,0,0,2023-08-05,-,-29.9135741,-51.0577006
SALA/CONJUNTO COMERCIAL,COMPRA,140000,130200,RUA,SILVA JARDIM,AUXILIADORA,PORTO ALEGRE,RS,35.0,0,0,0,170862,0.0,0,0,0,2023-08-05,-,-30.0274454,-51.1899181
SALA/CONJUNTO COMERCIAL,COMPRA,140000,133000,AVENIDA,IJUI,PETROPOLIS,PORTO ALEGRE,RS,31.0,0,0,2,402285,0.0,0,0,0,2023-08-05,-,-30.0384635,-51.1873967
SALA/CONJUNTO COMERCIAL,COMPRA,130000,99000,RUA,GENERAL VITORINO,CENTRO HISTORICO,PORTO ALEGRE,RS,72.0,0,0,1,373089,0.0,1,0,0,2023-08-05,-,-30.0282151,-51.0534922
SALA/CONJUNTO COMERCIAL,COMPRA,128000,121600,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,25.0,0,0,2,369425,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,COMPRA,128000,121600,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,28.0,0,0,2,369162,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,COMPRA,127200,120840,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,23.0,0,0,0,334424,0.0,1,0,0,2023-08-05,-,-30.0296388,-51.2232103
SALA/CONJUNTO COMERCIAL,COMPRA,120000,114000,AVENIDA,ERICO VERISSIMO,MENINO DEUS,PORTO ALEGRE,RS,51.0,0,0,0,198325,0.0,1,0,0,2023-08-05,-,-30.0444453,-51.2203463
SALA/CONJUNTO COMERCIAL,COMPRA,120000,114000,AVENIDA,BRINO,SAO JOAO,PORTO ALEGRE,RS,37.0,0,0,1,385364,0.0,0,0,0,2023-08-05,-,-30.0037161,-51.1805205
SALA/CONJUNTO COMERCIAL,COMPRA,117000,111000,RUA,DOS ANDRADAS,CENTRO HISTORICO,PORTO ALEGRE,RS,61.0,0,0,1,373303,0.0,0,0,0,2023-08-05,-,-30.0296388,-51.2232103
